SeriesName,SeasonNumber,EpisodeNumber,EpisodeTitle,AirDate
Dark Matter,1,1,Pilot,2024-06-14
Dark Matter,1,1,Pilot,2024-06-14
Dark Matter,1,1,The Pilot,2024-06-14
Dark Matter,one,2,Splitting,2024-06-21
Dark Matter,1,3.0,The Box,2024-06-28
Dark Matter,1,--4,Entanglement,
Dark Matter,1,5,,2024-07-05
Dark Matter,,6,Collision,2024-07-12
Dark Matter,1,0,Collision Redux,2024-07-12
,1,1,Lost Episode,2024-01-01
Stranger Things,4,1,The Hellfire Club,2022-05-27
Stranger Things,4,1,Hellfire Club,
Stranger Things,4,2,Vecna's Curse,2022-05-27
Stranger Things,4,2,,
Stranger Things,four,3,The Monster and the Superhero,2022-06-01
Stranger Things,0,0,,
Stranger Things,4,4,,Unknown
Breaking Bad,1,1,Pilot,2008-01-20
Breaking Bad,1,1,pilot,2008-01-20
Breaking Bad,1,2,Cat's in the Bag,2008-01-27
Breaking Bad,1,2,Cats in the Bag,
Breaking Bad,1,3,,0000-00-00
Breaking Bad,1,4,Cancer Man,not a date
Breaking Bad,1,5,Gray Matter,2022-40-99
Breaking Bad,1,6,Crazy Handful of Nothin',2008-03-02
Breaking Bad,-1,7,A No-Rough-Stuff-Type Deal,2008-03-09
Breaking Bad,1,8,  Crazy Handful of Nothin'  ,2008-03-02
The  Office,2,1,The Dundies,2005-09-20
The Office,2,1,Dundies,2005-09-20
The Office,2,2,Sexual Harassment,2005-09-27
The Office,  ,3,Office Olympics,2005-10-04
The Office,2,abc,Health Care,2005-10-11
,,,,
,,,Orphan Entry,2024-01-01
Lost,3,1,A Tale of Two Cities,2006-10-04
Lost,3,1,A Tale of Two Cities,2006-10-04
Lost,0,2,The Glass Ballerina,2006-10-11
Lost,3,2,The Glass Ballerina,2006-10-11
Lost,3,3,Further Instructions,2006-10-18
Lost,3,0,D.O.C.,2007-04-25
Lost,3,0,D.O.C.,
